text,sentiment,cleaned_tokenization,cleaned_stopwords,cleaned_stemming,cleaned_lemmatization,cleaned_stemming_plus,cleaned_lemmatization_misspell
I need Cue something that would make me smile....I'll be waiting...:( ,negative,need cue something that would make me smileill be waiting,need cue something would make smileill waiting,need cue someth would make smileil wait,need cue something would make smileill waiting,need cue someth would make smileil wait,need cue something would make smileill waiting
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative,yg should have sent them to mcd want to see them holding the trophy unhappy anyways,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,negative,yg should have sent them to mcd want to see them holding the trophy unhappy anyways,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways,yg sent mcd want see hold trophi unhappi anyway,yg sent mcd want see holding trophy unhappy anyways
these nosebleeds are getting outta hands unhappy ,negative,these nosebleeds are getting outta hands unhappy,nosebleeds getting outta hands unhappy,noseble get outta hand unhappi,nosebleed getting outta hand unhappy,noseble get outta hand unhappi,nosebleed getting outta hand unhappy
I am perfectly happy being single .. Until I see a happy couple :(KISSES TheFashionIcon,negative,am perfectly happy being single until see happy couple kisses thefashionicon,perfectly happy single see happy couple kisses thefashionicon,perfectli happi singl see happi coupl kiss thefashionicon,perfectly happy single see happy couple kiss thefashionicon,perfectli happi singl see happi coupl kiss thefashionicon,perfectly happy single see happy couple kiss thefashionicon
Dude I just want more sleep unhappy ,negative,dude just want more sleep unhappy,dude want sleep unhappy,dude want sleep unhappi,dude want sleep unhappy,dude want sleep unhappi,dude want sleep unhappy
Feel so fucking shit today unhappy ,negative,feel so fucking shit today unhappy,feel fucking shit today unhappy,feel fuck shit today unhappi,feel fucking shit today unhappy,feel fuck shit today unhappi,feel fucking shit today unhappy
wont be able to stream tonight i'm sorry guys unhappy ,negative,wont be able to stream tonight im sorry guys unhappy,wont able stream tonight im sorry guys unhappy,wont abl stream tonight im sorri guy unhappi,wont able stream tonight im sorry guy unhappy,wont abl stream tonight im sorri guy unhappi,wont able stream tonight im sorry guy unhappy
I face swapped a cat with a dog and it's really upsetting unhappy  ,negative,face swapped cat with dog and its really upsetting unhappy,face swapped cat dog really upsetting unhappy,face swap cat dog realli upset unhappi,face swapped cat dog really upsetting unhappy,face swap cat dog realli upset unhappi,face swapped cat dog really upsetting unhappy
your system does not recognize spaces in last names so for 2nd time unable to check in  forced to wait in unnecessary lines unhappy ,negative,your system does not recognize spaces in last names so for nd time unable to check in forced to wait in unnecessary lines unhappy,system recognize spaces last names nd time unable check forced wait unnecessary lines unhappy,system recogn space last name nd time unabl check forc wait unnecessari line unhappi,system recognize space last name nd time unable check forced wait unnecessary line unhappy,system recogn space last name nd time unabl check forc wait unnecessari line unhappi,system recognize space last name nd time unable check forced wait unnecessary line unhappy
still waiting unhappy ,negative,still waiting unhappy,still waiting unhappy,still wait unhappi,still waiting unhappy,still wait unhappi,still waiting unhappy
- Thank you tons,negative,thank you tons,thank tons,thank ton,thank ton,thank ton,thank ton
 rocks. next question - where is my astro unhappy  ? ,negative,rocks next question where is my astro unhappy,rocks next question astro unhappy,rock next question astro unhappi,rock next question astro unhappy,rock next question astro unhappi,rock next question astro unhappy
It was not your fault,negative,it was not your fault,fault,fault,fault,fault,fault
 but the customs of Argentina that fill you with paperwork unhappy ,negative,but the customs of argentina that fill you with paperwork unhappy,customs argentina fill paperwork unhappy,custom argentina fill paperwork unhappi,custom argentina fill paperwork unhappy,custom argentina fill paperwork unhappi,custom argentina fill paperwork unhappy
i tried fixing my choristers dress hem that came undone by taping it with fabric tape but i put it on wrong and its even more ruined unhappy ,negative,tried fixing my choristers dress hem that came undone by taping it with fabric tape but put it on wrong and its even more ruined unhappy,tried fixing choristers dress hem came undone taping fabric tape put wrong even ruined unhappy,tri fix chorist dress hem came undon tape fabric tape put wrong even ruin unhappi,tried fixing chorister dress hem came undone taping fabric tape put wrong even ruined unhappy,tri fix chorist dress hem came undon tape fabric tape put wrong even ruin unhappi,tried fixing chorister dress hem came undone taping fabric tape put wrong even ruined unhappy
Small fishie died unhappy ,negative,small fishie died unhappy,small fishie died unhappy,small fishi die unhappi,small fishie died unhappy,small fishi die unhappi,small fishie died unhappy
It's too nice outside to be stuck in school all day unhappy ,negative,its too nice outside to be stuck in school all day unhappy,nice outside stuck school day unhappy,nice outsid stuck school day unhappi,nice outside stuck school day unhappy,nice outsid stuck school day unhappi,nice outside stuck school day unhappy
EDM pleaseeeeeeeee   unhappy ,negative,edm pleaseeeeeeeee unhappy,edm pleaseeeeeeeee unhappy,edm pleaseeeeeeee unhappi,edm pleaseeeeeeeee unhappy,edm please unhappi,edm pleasee unhappy
oh my god unhappy  next time mishutuuu,negative,oh my god unhappy next time mishutuuu,oh god unhappy next time mishutuuu,oh god unhappi next time mishutuuu,oh god unhappy next time mishutuuu,oh god unhappi next time mishutuu,oh god unhappy next time mishutuu
Can you say Hi julia ??pleasee crying  ,negative,can you say hi julia pleasee crying,say hi julia pleasee crying,say hi julia please cri,say hi julia pleasee cry,say hi julia please cri,say hi julia pleasee cry
Bby unhappy  your emotion  ,negative,bby unhappy your emotion,bby unhappy emotion,bbi unhappi emot,bby unhappy emotion,bbi unhappi emot,bby unhappy emotion
I seriously thought that Coldplay was going to be band like Depeche Mode or U2,negative,seriously thought that coldplay was going to be band like depeche mode or,seriously thought coldplay going band like depeche mode,serious thought coldplay go band like depech mode,seriously thought coldplay going band like depeche mode,serious thought coldplay go band like depech mode,seriously thought coldplay going band like depeche mode
 just kept going unhappy  ,negative,just kept going unhappy,kept going unhappy,kept go unhappi,kept going unhappy,kept go unhappi,kept going unhappy
poor baby unhappy  I hate people ,negative,poor baby unhappy hate people,poor baby unhappy hate people,poor babi unhappi hate peopl,poor baby unhappy hate people,poor babi unhappi hate peopl,poor baby unhappy hate people
unhappy  i have to be strong today jfjfjkf,negative,unhappy have to be strong today jfjfjkf,unhappy strong today jfjfjkf,unhappi strong today jfjfjkf,unhappy strong today jfjfjkf,unhappi strong today jfjfjkf,unhappy strong today jfjfjkf
I NEED A UNICORN FRAPPUCCINO STAT. I JUST FOUND OUT THEY ARE LIMITED TIMEE! unhappy  How much longer?,negative,need unicorn frappuccino stat just found out they are limited timee unhappy how much longer,need unicorn frappuccino stat found limited timee unhappy much longer,need unicorn frappuccino stat found limit time unhappi much longer,need unicorn frappuccino stat found limited timee unhappy much longer,need unicorn frappuccino stat found limit time unhappi much longer,need unicorn frappuccino stat found limited timee unhappy much longer
Her back unhappy  ,negative,her back unhappy,back unhappy,back unhappi,back unhappy,back unhappi,back unhappy
unhappy  sorry to hear this.....,negative,unhappy sorry to hear this,unhappy sorry hear,unhappi sorri hear,unhappy sorry hear,unhappi sorri hear,unhappy sorry hear
I won't. if i do it's probably for phil but he hasn't seen me yet unhappy ,negative,wont if do its probably for phil but he hasnt seen me yet unhappy,wont probably phil hasnt seen yet unhappy,wont probabl phil hasnt seen yet unhappi,wont probably phil hasnt seen yet unhappy,wont probabl phil hasnt seen yet unhappi,wont probably phil hasnt seen yet unhappy
Yuri was here and i didn't know it unhappy  the second snsd i missed ,negative,yuri was here and didnt know it unhappy the second snsd missed,yuri didnt know unhappy second snsd missed,yuri didnt know unhappi second snsd miss,yuri didnt know unhappy second snsd missed,yuri didnt know unhappi second snsd miss,yuri didnt know unhappy second snsd missed
